Date,RPM (USD),Views,Estimated revenue (USD)
Total,8.419,907866,5363.54
2026-08-27,9.814,41261,180.538
2026-08-28,9.575,39865,168.064
2026-08-26,9.244,22882,211.287
2026-08-21,8.986,28280,253.985
2026-09-01,8.921,55505,245.214
2026-08-30,8.873,68245,251.625
2026-08-18,8.741,11754,102.579
2026-08-29,8.734,70366,304.514
2026-09-02,8.732,79660,382.388
2026-08-19,8.693,20052,174.017
2026-08-16,8.601,23890,205.265
2026-08-13,8.586,19639,168.365
2026-08-17,8.47,15888,134.379
2026-08-31,8.432,42193,160.239
2026-08-20,8.43,18610,156.709
2026-08-25,8.271,11883,98.072
2026-08-15,8.204,20427,167.355
2026-08-22,8.179,26510,216.675
2026-08-23,7.78,30351,235.893
2026-08-12,7.752,17503,135.319
2026-08-24,7.671,16948,129.855
2026-08-14,7.578,26526,200.843
2026-08-11,7.224,12477,89.904
2026-08-10,7.116,15271,108.411
2026-08-09,6.941,25721,175.225
2026-09-05,,46132,239.461
2026-09-03,,54719,253.623
2026-09-04,,45308,213.737
