Date,RPM (USD),Views,Estimated revenue (USD)
Total,2.677,1848981,3473.456
2026-08-31,3.132,48697,56.77
2026-09-02,3.057,152811,240.771
2026-08-28,2.995,67702,89.899
2026-08-24,2.94,29678,86.643
2026-08-25,2.939,14730,42.748
2026-08-29,2.872,163641,234.756
2026-08-27,2.804,46674,56.58
2026-08-30,2.798,142809,159.983
2026-09-01,2.777,81851,115.075
2026-08-22,2.749,56697,155.451
2026-08-16,2.708,72462,195.746
2026-08-20,2.686,41240,110.354
2026-08-17,2.677,31920,85.027
2026-08-26,2.677,29110,77.436
2026-08-18,2.635,14012,36.49
2026-08-11,2.623,12608,32.639
2026-08-23,2.605,69433,180.381
2026-08-10,2.588,26304,67.46
2026-08-13,2.519,42480,106.53
2026-08-09,2.498,53441,130.609
2026-08-14,2.48,66393,164.301
2026-08-15,2.429,52986,128.27
2026-08-19,2.412,39532,94.992
2026-08-21,2.333,64133,149.224
2026-08-12,2.332,35027,81.335
2026-09-05,,195491,314.588
2026-09-03,,106771,150.052
2026-09-04,,90348,129.345
