Date,RPM (USD),Views,Estimated revenue (USD)
2026-06-12,10.888,24303,264.282
2026-06-13,10.763,23838,256.201
2026-05-29,9.983,20736,206.752
2026-08-27,9.814,41261,180.538
2026-04-24,9.775,8430,82.026
2026-05-28,9.718,27062,262.541
2026-05-30,9.707,22843,221.441
2026-05-06,9.698,8073,77.901
2026-06-01,9.631,10402,99.816
2026-08-28,9.575,39865,168.064
2026-06-25,9.523,6526,61.841
2026-05-21,9.415,16862,158.421
2026-05-22,9.367,14034,131.028
2026-06-08,9.33,13857,131.17
2026-07-03,9.327,21212,190.677
2026-07-04,9.291,28544,255.641
2026-04-22,9.281,9727,90.089
2026-05-07,9.263,8639,79.744
2026-05-10,9.242,15024,138.7
2026-08-26,9.227,22882,211.287
2026-04-23,9.068,9011,81.515
2026-08-21,8.986,28280,253.985
2026-06-24,8.966,7385,65.882
2026-04-30,8.96,12629,112.898
2026-06-05,8.914,7552,67.596
2026-04-09,8.913,17329,154.244
2026-06-11,8.901,6748,59.791
2026-05-08,8.87,14164,125.459
2026-05-16,8.856,24891,220.299
2026-05-31,8.849,16446,145.266
2026-06-15,8.841,32579,287.708
2026-05-11,8.829,9601,84.457
2026-04-29,8.822,18955,166.833
2026-05-15,8.817,11699,103.015
2026-04-20,8.802,8295,72.854
2026-05-27,8.794,15069,132.178
2026-08-18,8.741,11754,102.579
2026-08-29,8.734,70397,304.514
2026-08-19,8.693,20052,174.017
2026-04-16,8.666,12868,111.165
2026-06-06,8.644,9926,86.302
2026-06-23,8.637,8730,75.137
2026-08-16,8.601,23890,205.265
2026-08-13,8.586,19639,168.365
2026-06-20,8.574,11118,94.983
2026-07-29,8.546,15900,135.735
2026-06-14,8.545,46725,399.051
2026-06-10,8.542,7916,67.329
2026-05-09,8.523,10627,89.933
2026-05-24,8.518,18793,159.857
2026-07-06,8.48,26600,221.062
2026-04-21,8.479,6618,55.86
2026-08-17,8.47,15888,134.379
2026-04-27,8.449,8378,70.447
2026-04-17,8.444,14614,123.132
2026-05-12,8.437,6880,57.794
2026-08-20,8.43,18610,156.709
2026-06-26,8.429,6799,57.133
2026-06-22,8.429,8832,74.207
2026-06-02,8.342,8205,68.165
2026-05-14,8.34,13141,109.314
2026-06-18,8.335,13637,113.504
2026-06-09,8.332,10142,85.558
2026-06-21,8.33,10047,83.375
2026-05-17,8.28,26139,216.209
2026-06-17,8.251,17531,144.417
2026-07-02,8.246,11297,90.217
2026-08-25,8.239,11883,98.072
2026-08-15,8.204,20427,167.355
2026-08-22,8.179,26510,216.675
2026-06-04,8.161,6946,56.885
2026-04-28,8.139,6228,50.256
2026-07-30,8.129,16746,135.831
2026-04-05,8.108,11108,89.965
2026-01-23,8.09,54999,444.556
2026-04-08,8.075,14457,116.363
2026-05-23,8.065,11972,96.186
2026-04-25,8.035,11456,91.892
2026-07-05,8.002,24587,191.736
2026-06-07,7.995,16644,135.243
2026-06-16,7.976,24663,196.432
2026-04-14,7.957,7174,56.909
2026-04-15,7.895,12907,101.741
2026-06-27,7.877,8186,64.111
2026-08-03,7.862,12192,95.71
2026-06-19,7.808,12445,96.947
2026-05-20,7.784,22107,171.94
2026-08-23,7.78,30351,235.893
2026-08-12,7.752,17503,135.319
2026-07-13,7.75,9669,72.914
2026-04-13,7.749,8730,67.507
2025-09-17,7.688,6794,51.951
2026-07-01,7.676,18788,140.955
2026-04-26,7.629,13811,105.019
2026-08-24,7.624,16948,129.855
2026-01-24,7.589,34193,259.251
2026-08-14,7.578,26526,200.843
2026-07-10,7.571,18458,139.244
2026-05-02,7.551,11904,89.694
2026-07-07,7.55,15047,110.416
2026-05-18,7.541,19339,145.629
2026-04-18,7.529,13037,97.931
2026-04-02,7.486,13715,102.366
2025-12-05,7.478,4539,33.705
2026-01-22,7.474,17950,133.993
2026-06-30,7.441,14577,108.218
2026-04-06,7.431,7433,55.109
2026-01-21,7.43,16597,123.185
2026-05-13,7.419,13744,101.728
2026-05-03,7.418,11119,82.261
2026-06-29,7.413,17613,130.343
2025-11-30,7.413,16620,122.993
2026-06-28,7.399,21222,156.75
2026-05-19,7.37,14060,103.177
2026-04-11,7.368,14666,107.857
2026-06-03,7.355,8105,60.264
2026-08-02,7.35,19099,140.267
2026-07-11,7.343,19390,142.182
2025-12-04,7.335,5647,41.279
2026-01-25,7.331,50079,366.91
2026-04-01,7.291,7064,51.336
2026-01-15,7.29,11791,85.885
2026-04-19,7.23,13786,99.266
2026-08-11,7.224,12477,89.904
2026-07-12,7.199,19030,136.701
2025-12-13,7.139,1907,13.493
2025-12-12,7.129,1986,13.987
2026-05-01,7.124,17089,121.546
2025-10-22,7.118,11706,82.955
2026-08-10,7.116,15271,108.411
2026-04-04,7.068,15523,109.554
2025-12-03,7.062,7230,50.902
2026-05-05,7.036,5908,41.356
2026-08-05,7.005,28737,201.093
2026-08-01,7.003,18170,127.105
2026-04-10,6.98,18215,127.021
2026-07-14,6.974,6202,42.969
2026-04-03,6.949,17403,120.766
2026-08-09,6.941,25721,175.225
2025-10-23,6.929,9567,66.024
2025-10-15,6.917,10480,72.009
2026-08-06,6.88,31122,213.916
2026-08-07,6.871,26983,185.291
2026-05-04,6.866,7083,48.566
2025-12-19,6.849,1305,8.821
2026-04-07,6.814,5979,40.625
2026-04-12,6.811,13664,92.865
2026-07-09,6.743,22448,150.925
2025-10-17,6.727,11309,75.712
2026-07-31,6.717,19896,133.521
2026-01-20,6.708,16911,113.043
2025-12-11,6.696,2439,16.245
2026-07-27,6.692,4772,31.792
2025-10-19,6.679,9277,61.376
2025-12-08,6.664,3547,23.536
2026-07-08,6.6,30900,199.664
2026-03-26,6.571,2636,17.182
2025-12-10,6.569,2804,18.254
2025-10-14,6.532,11060,71.712
2026-03-27,6.528,2607,16.836
2026-03-30,6.485,2196,14.092
2026-03-09,6.469,963,6.152
2026-08-08,6.436,31105,200.085
2026-08-04,6.41,17425,111.558
2026-01-17,6.402,19965,127.599
2025-09-28,6.347,6342,39.919
2025-12-01,6.339,20373,128.983
2025-12-09,6.331,3116,19.569
2025-12-02,6.32,10382,65.441
2026-03-31,6.295,2045,12.621
2026-01-14,6.29,11259,70.507
2026-03-29,6.281,2423,15.132
2025-11-09,6.259,24757,154.208
2025-10-28,6.255,11356,70.634
2026-03-28,6.247,2412,14.9
2026-07-28,6.218,3696,22.82
2025-09-04,6.202,5097,31.426
2025-12-07,6.125,3784,23.016
2025-12-06,6.122,4151,25.291
2025-10-18,6.08,11410,68.797
2025-10-29,6.055,9391,56.558
2026-03-08,6.055,911,5.389
2025-09-18,6.026,8227,49.425
2025-09-29,6.003,6165,36.731
2026-03-25,5.997,3381,20.079
2025-09-13,5.98,7988,47.521
2025-09-03,5.964,4639,27.326
2026-07-26,5.944,6530,38.728
2026-01-16,5.944,26584,157.812
2025-12-17,5.917,1330,7.757
2026-03-07,5.91,932,5.443
2026-03-23,5.853,6846,39.878
2025-09-20,5.846,6744,39.278
2026-01-12,5.824,8181,47.595
2025-10-24,5.821,12156,70.306
2025-12-27,5.788,1429,8.179
2026-03-20,5.787,5227,30.146
2025-09-05,5.769,4588,26.303
2025-09-30,5.722,7051,40.144
2025-12-18,5.715,1347,7.584
2025-09-19,5.711,5455,30.976
2025-12-14,5.699,1584,8.93
2026-03-10,5.617,1115,6.066
2025-09-21,5.606,9301,51.938
2025-10-16,5.604,13629,76.084
2026-03-12,5.596,1027,5.624
2025-09-11,5.594,5616,31.13
2026-03-21,5.571,8414,46.671
2026-03-22,5.566,11666,64.602
2026-03-17,5.554,4849,26.839
2026-03-18,5.539,4848,26.758
2025-10-03,5.533,3655,20.012
2025-10-02,5.514,4988,27.246
2026-07-24,5.475,4482,24.408
2026-03-11,5.444,984,5.253
2026-03-15,5.441,1088,5.871
2025-10-25,5.428,14961,80.779
2026-03-24,5.406,4766,25.614
2025-10-06,5.406,4217,22.66
2025-10-21,5.405,5485,29.284
2025-11-29,5.404,18817,101.535
2025-10-01,5.403,5511,29.553
2026-01-13,5.368,6614,35.41
2025-12-20,5.36,1269,6.748
2025-10-04,5.345,2714,14.309
2025-09-14,5.338,6363,33.783
2026-01-10,5.322,8346,44.383
2026-03-13,5.311,1040,5.412
2026-07-25,5.308,6884,36.435
2025-09-27,5.305,4991,26.258
2026-01-11,5.303,8515,45.038
2025-10-30,5.252,14830,77.461
2026-03-06,5.249,1033,5.259
2025-09-15,5.181,3448,17.786
2026-03-19,5.123,4128,21.025
2026-07-21,5.108,4648,23.683
2025-11-10,5.1,9762,49.1
2025-12-15,5.069,1405,7.01
2026-05-25,5.062,48825,246.839
2025-11-06,5.046,12948,64.977
2026-01-19,5.043,22262,112.081
2025-10-20,5.002,8345,41.478
2026-07-23,4.997,3021,14.975
2025-09-06,4.979,4804,23.821
2026-05-26,4.953,32683,161.037
2026-07-22,4.947,3495,17.16
2025-11-01,4.94,15362,75.417
2025-12-26,4.928,1428,7.017
2025-12-16,4.881,1415,6.784
2025-12-24,4.877,1276,6.101
2025-11-07,4.864,10365,50.079
2025-11-02,4.859,17672,85.212
2026-01-18,4.832,33726,162.844
2025-09-22,4.829,5307,25.448
2025-09-12,4.811,4099,19.619
2025-12-28,4.807,1479,7.033
2025-10-05,4.787,2498,11.756
2025-11-11,4.772,10074,47.731
2025-10-08,4.768,4109,19.411
2025-11-13,4.751,6015,28.26
2025-12-25,4.704,1422,6.586
2026-07-20,4.701,8296,38.878
2026-03-14,4.692,1068,4.875
2025-12-21,4.662,1227,5.627
2026-07-16,4.661,24023,111.854
2025-12-30,4.649,1234,5.653
2025-10-07,4.647,5442,25.087
2025-09-10,4.617,4780,21.936
2025-10-09,4.601,2555,11.623
2025-10-10,4.6,2162,9.811
2025-09-02,4.596,3329,15.167
2025-09-07,4.575,3565,16.16
2026-03-16,4.563,3958,17.972
2025-12-29,4.533,1429,6.396
2025-11-12,4.514,6845,30.61
2025-10-11,4.454,2210,9.66
2025-09-23,4.423,4090,17.976
2025-10-31,4.413,18690,81.852
2025-11-14,4.406,4623,20.109
2025-11-15,4.381,4184,18.098
2025-09-24,4.378,4066,17.659
2025-10-13,4.356,3162,13.465
2025-11-21,4.35,2550,10.902
2025-09-25,4.333,3368,14.439
2025-11-16,4.325,3392,14.397
2025-11-19,4.298,2749,11.644
2025-11-08,4.292,9011,38.281
2025-12-22,4.291,1525,6.453
2025-09-16,4.271,3493,14.803
2025-10-12,4.189,5259,21.905
2025-11-17,4.172,3078,12.629
2025-11-18,4.143,2939,11.983
2026-07-15,4.138,24701,102.007
2026-01-09,4.078,8646,35.066
2025-11-26,4.058,1752,6.964
2026-07-17,3.99,24887,99.181
2026-01-03,3.951,947,3.659
2025-12-23,3.945,1333,5.168
2025-10-26,3.887,11289,43.559
2025-11-20,3.87,2656,10.093
2025-11-03,3.83,13319,50.432
2025-11-25,3.762,1916,7.031
2026-07-18,3.744,27329,102.221
2025-11-24,3.74,1930,7.088
