Date,RPM (USD),Views,Estimated revenue (USD)
2026-09-05,1.60922,195491,314.588
2026-09-04,1.431631,90348,129.345
2026-09-03,3.144,106771,150.052
2026-09-02,3.057,152811,240.771
2026-09-01,2.777,81851,115.075
2026-08-31,3.132,48697,56.77
2026-08-30,2.798,142809,159.983
2026-08-29,2.874,163641,234.756
2026-08-28,2.995,67702,89.899
2026-08-27,2.804,46674,56.58
2026-08-26,2.677,29110,77.436
2026-08-25,2.939,14730,42.748
2026-08-24,2.94,29678,86.643
2026-08-23,2.605,69433,180.381
2026-08-22,2.749,56697,155.451
2026-08-21,2.333,64133,149.224
2026-08-20,2.686,41240,110.354
2026-08-19,2.412,39532,94.992
2026-08-18,2.635,14012,36.49
2026-08-17,2.677,31920,85.027
2026-08-16,2.708,72462,195.746
2026-08-15,2.429,52986,128.27
2026-08-14,2.48,66393,164.301
2026-08-13,2.519,42480,106.53
2026-08-12,2.332,35027,81.335
2026-08-11,2.623,12608,32.639
2026-08-10,2.588,26304,67.46
2026-08-09,2.498,53441,130.609
2026-08-08,2.341608,75291,176.302
2026-08-07,2.053379,51687,106.133
2026-08-06,2.08988,60091,125.583
2026-08-05,1.983444,48199,95.6
2026-08-04,2.359599,13351,31.503
2026-08-03,2.604016,28837,75.092
2026-08-02,2.091629,67391,140.957
2026-08-01,2.056377,60982,125.402
2026-07-31,1.984543,69741,138.404
2026-07-30,2.009106,45464,91.342
2026-07-29,1.933048,52321,101.139
2026-07-28,2.271399,14101,32.029
2026-07-27,2.304467,24735,57.001
2026-07-26,2.086877,58761,122.627
2026-07-25,2.173761,56267,122.311
2026-07-24,2.074072,45145,93.634
2026-07-23,1.763749,37494,66.13
2026-07-22,2.009237,26739,53.725
2026-07-21,2.372867,24317,57.701
2026-07-20,2.419012,54545,131.945
2026-07-19,2.130916,258623,551.104
2026-07-18,2.034983,239543,487.466
2026-07-17,1.791411,258834,463.678
2026-07-16,1.827945,184319,336.925
2026-07-15,1.691622,177075,299.544
2026-07-14,1.895947,8265,15.67
2026-07-13,2.500994,16100,40.266
2026-07-12,2.522197,69650,175.671
2026-07-11,2.845926,59108,168.217
2026-07-10,3.038231,45984,139.71
2026-07-09,2.916119,58023,169.202
2026-07-08,3.249841,84706,275.281
2026-07-07,2.527681,20736,52.414
2026-07-06,2.783862,60813,169.295
2026-07-05,2.818444,75723,213.421
2026-07-04,2.998234,97976,293.755
2026-07-03,3.345138,85279,285.27
2026-07-02,2.613434,21960,57.391
2026-07-01,2.864639,59456,170.32
2026-06-30,3.524114,40247,141.835
2026-06-29,3.687656,58634,216.222
2026-06-28,2.960234,80420,238.062
2026-06-27,2.213008,27276,60.362
2026-06-26,2.050357,2661,5.456
2026-06-25,2.527397,2628,6.642
2026-06-24,2.365282,2984,7.058
2026-06-23,3.338549,2812,9.388
2026-06-22,2.422674,3149,7.629
2026-06-21,2.571771,3755,9.657
2026-06-20,2.615102,4622,12.087
2026-06-19,2.39736,5076,12.169
2026-06-18,2.840325,6269,17.806
2026-06-17,2.707275,8069,21.845
2026-06-16,2.880149,13692,39.435
2026-06-15,3.240623,27861,90.287
2026-06-14,2.451892,171012,419.303
2026-06-13,2.811299,145887,410.132
2026-06-12,3.183145,53089,168.99
2026-06-11,2.631587,6300,16.579
2026-06-10,2.310225,8352,19.295
