Date,RPM (USD),Views,Estimated revenue (USD)
2026-08-28,1.724228,124795,215.175
2026-08-29,2.052726,358346,735.586
2026-08-27,1.581356,109881,173.761
2026-08-25,3.808771,32448,123.587
2026-08-24,3.629932,55152,200.198
2026-08-26,3.557486,62728,223.154
2026-08-10,3.451323,42515,146.733
2026-08-21,3.423302,169326,579.654
2026-08-22,3.403453,122961,418.492
2026-08-11,3.396175,28394,96.431
2026-08-13,3.37423,105641,356.457
2026-08-18,3.33458,31550,105.206
2026-08-23,3.329939,133831,445.649
2026-08-15,3.298253,108019,356.274
2026-08-17,3.293894,53288,175.525
2026-08-20,3.278977,85086,278.995
2026-08-09,3.234069,98689,319.167
2026-08-08,3.163316,176737,559.075
2026-08-16,3.076561,132000,406.106
2026-08-14,3.072194,155332,477.21
2026-08-19,3.049989,89319,272.422
2026-08-12,2.940922,86919,255.622
2026-08-06,2.856,176749,504.758
2026-08-05,2.801,123175,345.006
2026-08-07,2.715,133071,361.21
2026-08-31,1.631421,99094,161.664
2026-08-30,1.829278,238019,435.403
2026-09-01,2.045351,193358,395.485
2026-09-02,2.160964,340170,735.095
2026-09-03,2.182687,200211,436.998
2026-09-04,,223964,
